2023-01-01T00:00:00Z,37520348,1672531185,2022-12-31T23:59:45.000Z,
2023-01-02T00:00:00Z,37560750,1672617588,2023-01-01T23:59:48.000Z,
2023-01-03T00:00:00Z,37601103,1672704003,2023-01-03T00:00:03.000Z,
2023-01-04T00:00:00Z,37641487,1672790411,2023-01-04T00:00:11.000Z,
2023-01-05T00:00:00Z,37680752,1672876795,2023-01-04T23:59:55.000Z,
2023-01-06T00:00:00Z,37720947,1672963192,2023-01-05T23:59:52.000Z,
2023-01-07T00:00:00Z,37761202,1673049600,2023-01-07T00:00:00.000Z,
2023-01-08T00:00:00Z,37801321,1673136006,2023-01-08T00:00:06.000Z,
2023-01-09T00:00:00Z,37841740,1673222398,2023-01-08T23:59:58.000Z,
2023-01-10T00:00:00Z,37881020,1673308813,2023-01-10T00:00:13.000Z,
2023-01-11T00:00:00Z,37921398,1673395190,2023-01-10T23:59:50.000Z,
2023-01-12T00:00:00Z,37962821,1673481590,2023-01-11T23:59:50.000Z,
2023-01-13T00:00:00Z,38004392,1673567997,2023-01-12T23:59:57.000Z,
2023-01-14T00:00:00Z,38046068,1673654396,2023-01-13T23:59:56.000Z,
2023-01-15T00:00:00Z,38087620,1673740801,2023-01-15T00:00:01.000Z,
2023-01-16T00:00:00Z,38129279,1673827196,2023-01-15T23:59:56.000Z,
2023-01-17T00:00:00Z,38170498,1673913588,2023-01-16T23:59:48.000Z,
2023-01-18T00:00:00Z,38210800,1674000001,2023-01-18T00:00:01.000Z,
2023-01-19T00:00:00Z,38249638,1674086415,2023-01-19T00:00:15.000Z,
2023-01-20T00:00:00Z,38288977,1674172796,2023-01-19T23:59:56.000Z,
2023-01-21T00:00:00Z,38328360,1674259201,2023-01-21T00:00:01.000Z,
2023-01-22T00:00:00Z,38368050,1674345601,2023-01-22T00:00:01.000Z,
2023-01-23T00:00:00Z,38407970,1674431995,2023-01-22T23:59:55.000Z,
2023-01-24T00:00:00Z,38448179,1674518401,2023-01-24T00:00:01.000Z,
2023-01-25T00:00:00Z,38487931,1674604798,2023-01-24T23:59:58.000Z,
2023-01-26T00:00:00Z,38527698,1674691199,2023-01-25T23:59:59.000Z,
