2023-04-10T08:00:00Z,41360344,1681113608,2023-04-10T08:00:08.000Z,
2023-04-10T09:00:00Z,41361970,1681117208,2023-04-10T09:00:08.000Z,
2023-04-10T10:00:00Z,41363604,1681120810,2023-04-10T10:00:10.000Z,
2023-04-10T11:00:00Z,41365181,1681124397,2023-04-10T10:59:57.000Z,
2023-04-10T12:00:00Z,41366760,1681127987,2023-04-10T11:59:47.000Z,
2023-04-10T13:00:00Z,41368361,1681131590,2023-04-10T12:59:50.000Z,
2023-04-10T14:00:00Z,41369985,1681135202,2023-04-10T14:00:02.000Z,
2023-04-10T15:00:00Z,41371637,1681138799,2023-04-10T14:59:59.000Z,
2023-04-10T16:00:00Z,41373301,1681142399,2023-04-10T15:59:59.000Z,
2023-04-10T17:00:00Z,41374951,1681146000,2023-04-10T17:00:00.000Z,
2023-04-10T18:00:00Z,41376627,1681149600,2023-04-10T18:00:00.000Z,
2023-04-10T19:00:00Z,41378305,1681153198,2023-04-10T18:59:58.000Z,
2023-04-10T20:00:00Z,41379958,1681156800,2023-04-10T20:00:00.000Z,
2023-04-10T21:00:00Z,41381516,1681160398,2023-04-10T20:59:58.000Z,
2023-04-10T22:00:00Z,41383171,1681164013,2023-04-10T22:00:13.000Z,
2023-04-10T23:00:00Z,41384806,1681167615,2023-04-10T23:00:15.000Z,
2023-04-11T00:00:00Z,41386430,1681171193,2023-04-10T23:59:53.000Z,
2023-04-11T01:00:00Z,41388060,1681174809,2023-04-11T01:00:09.000Z,
2023-04-11T02:00:00Z,41389634,1681178385,2023-04-11T01:59:45.000Z,
2023-04-11T03:00:00Z,41391096,1681181997,2023-04-11T02:59:57.000Z,
2023-04-11T04:00:00Z,41392542,1681185613,2023-04-11T04:00:13.000Z,
2023-04-11T05:00:00Z,41394000,1681189195,2023-04-11T04:59:55.000Z,
2023-04-11T06:00:00Z,41395528,1681192801,2023-04-11T06:00:01.000Z,
2023-04-11T07:00:00Z,41397209,1681196399,2023-04-11T06:59:59.000Z,
2023-04-11T08:00:00Z,41398891,1681200000,2023-04-11T08:00:00.000Z,
2023-04-11T09:00:00Z,41400583,1681203600,2023-04-11T09:00:00.000Z,
2023-04-11T10:00:00Z,41402277,1681207200,2023-04-11T10:00:00.000Z,
2023-04-11T11:00:00Z,41403909,1681210799,2023-04-11T10:59:59.000Z,
2023-04-11T12:00:00Z,41405538,1681214399,2023-04-11T11:59:59.000Z,
2023-04-11T13:00:00Z,41407171,1681217998,2023-04-11T12:59:58.000Z,
2023-04-11T14:00:00Z,41408803,1681221598,2023-04-11T13:59:58.000Z,
2023-04-11T15:00:00Z,41410346,1681225196,2023-04-11T14:59:56.000Z,
2023-04-11T16:00:00Z,41411882,1681228795,2023-04-11T15:59:55.000Z,
2023-04-11T17:00:00Z,41413426,1681232404,2023-04-11T17:00:04.000Z,
2023-04-11T18:00:00Z,41415025,1681236004,2023-04-11T18:00:04.000Z,
2023-04-11T19:00:00Z,41416673,1681239604,2023-04-11T19:00:04.000Z,
2023-04-11T20:00:00Z,41418322,1681243201,2023-04-11T20:00:01.000Z,
2023-04-11T21:00:00Z,41419993,1681246815,2023-04-11T21:00:15.000Z,
2023-04-11T22:00:00Z,41421642,1681250387,2023-04-11T21:59:47.000Z,
2023-04-11T23:00:00Z,41423273,1681253992,2023-04-11T22:59:52.000Z,
2023-04-12T00:00:00Z,41424891,1681257590,2023-04-11T23:59:50.000Z,
2023-04-12T01:00:00Z,41426517,1681261198,2023-04-12T00:59:58.000Z,
2023-04-12T02:00:00Z,41428129,1681264796,2023-04-12T01:59:56.000Z,
2023-04-12T03:00:00Z,41429810,1681268400,2023-04-12T03:00:00.000Z,
2023-04-12T04:00:00Z,41431494,1681272001,2023-04-12T04:00:01.000Z,
2023-04-12T05:00:00Z,41433175,1681275611,2023-04-12T05:00:11.000Z,
2023-04-12T06:00:00Z,41434747,1681279207,2023-04-12T06:00:07.000Z,
